Supplier Name		Address                   Tel
Johnson Waffer      Bourbon St,Moka           6238570
Victoria Grover     Icry Rd,Forest Side       7349701
Tokyo Tereskova     Kennedy St,Mahebourg      1875409
Riu Jackson	        Edward St,Port Louis      7469802
Raquel Murillo      Robertson St,Curepipe     8967130
Alicia Sierra       Nimri St,Croisette        9712760
Monica Pedraza      Alvaro St,Souillac        7845902
Victoria Mandella   St Louise                 78967887
blacky			    curpipe 	              765765875
cd "c:\Users\huawei\OneDrive\Desktop\PharmacySupplier\Pharmacy_Main_Module\Pharmacy_Suppliers_Module\" ; if ($?) { gcc main.c -o main } ; if ($?) { .\main }
